前立腺,*,*,*,名詞,一般,*,*,*,*,前立腺,ゼンリツセン,*
LEL,*,*,*,名詞,一般,*,*,*,*,LEL,エルイーエル,*
CD3,*,*,*,名詞,固有名詞,一般,*,*,*,CD3,シーディースリー,*
CD4,*,*,*,名詞,固有名詞,一般,*,*,*,CD4,シーディーフォー,*
CD8,*,*,*,名詞,固有名詞,一般,*,*,*,CD8,シーディーエイト,*
CD20,*,*,*,名詞,固有名詞,一般,*,*,*,CD20,シーディーニジュウ,*
CD79a,*,*,*,名詞,固有名詞,一般,*,*,*,CD79a,シーディーナナジュウキュウエー,*
CD138,*,*,*,名詞,固有名詞,一般,*,*,*,CD138,シーディーヒャクサンジュウハチ,*
CD56,*,*,*,名詞,固有名詞,一般,*,*,*,CD56,シーディーゴジュウロク,*
CD34,*,*,*,名詞,固有名詞,一般,*,*,*,CD34,シーディーサンジュウヨン,*
Ki-67,*,*,*,名詞,固有名詞,一般,*,*,*,Ki-67,キーロクジュウナナ,*
p53,*,*,*,名詞,固有名詞,一般,*,*,*,p53,ピーゴジュウサン,*
p16,*,*,*,名詞,固有名詞,一般,*,*,*,p16,ピージュウロク,*
ER,*,*,*,名詞,固有名詞,一般,*,*,*,ER,イーアール,*
PgR,*,*,*,名詞,固有名詞,一般,*,*,*,PgR,ピージーアール,*
HER2,*,*,*,名詞,固有名詞,一般,*,*,*,HER2,ハーツー,*
TTF-1,*,*,*,名詞,固有名詞,一般,*,*,*,TTF-1,ティーティーエフワン,*
TTF1,*,*,*,名詞,固有名詞,一般,*,*,*,TTF1,ティーティーエフワン,*
ALK,*,*,*,名詞,固有名詞,一般,*,*,*,ALK,アルク,*
ROS1,*,*,*,名詞,固有名詞,一般,*,*,*,ROS1,ロスワン,*
TTF-1,*,*,*,名詞,固有名詞,一般,*,*,*,TTF-1,ティーティーエフワン,*
PD-L1,*,*,*,名詞,固有名詞,一般,*,*,*,PD-L1,ピーディーエルワン,*
Napsin A,*,*,*,名詞,固有名詞,一般,*,*,*,Napsin A,ナプシンエー,*
S100,*,*,*,名詞,固有名詞,一般,*,*,*,S100,エスヒャク,*
HMB-45,*,*,*,名詞,固有名詞,一般,*,*,*,HMB-45,エイチエムビーフォーティーファイブ,*
MUM-1,*,*,*,名詞,固有名詞,一般,*,*,*,MUM-1,マムワン,*
Desmin,*,*,*,名詞,固有名詞,一般,*,*,*,Desmin,デスミン,*
Inflammatory,*,*,*,名詞,一般,*,*,*,*,Inflammatory,インフラマトリー,*
carcinoma,*,*,*,名詞,一般,*,*,*,*,carcinoma,カルチノーマ,*
necrosis,*,*,*,名詞,一般,*,*,*,*,necrosis,ネクローシス,*
Allred,*,*,*,名詞,固有名詞,人名,姓,*,*,Allred,オールレッド,*
PS,*,*,*,名詞,一般,*,*,*,*,PS,プロポーションスコア,*
IS,*,*,*,名詞,一般,*,*,*,*,IS,インテンシティスコア,*
TS,*,*,*,名詞,一般,*,*,*,*,TS,トータルスコア,*
Score,*,*,*,名詞,一般,*,*,*,*,Score,スコア,*
score,*,*,*,名詞,一般,*,*,*,*,score,スコア,*
Grade,*,*,*,名詞,一般,*,*,*,*,Grade,グレード,*
grade,*,*,*,名詞,一般,*,*,*,*,grade,グレード,*
CD10,*,*,*,名詞,固有名詞,一般,*,*,*,CD10,シーディーテン,*
CD3,*,*,*,名詞,固有名詞,一般,*,*,*,CD3,シーディーサンジュウヨン,*
